Orhan Pamuk,My Name is Red
William Saroyan,My Name Is Aram
Isabel Allende,Of Love and Shadows
Ousmane Sembène,God's Bits of Wood
Nawal El Saadawi,Woman at Point Zero
Heraclitus,Fragments
Judy Blume,"Are You There God? It's Me, Margaret"
na,na
list details page,"129 ""best of"" book lists"
Rebecca West,The Thinking Reed
Marlon James,A Brief History of Seven Killings
Philip K. Dick,The Man in the High Castle
Booth Tarkington,The Magnificent Ambersons 
Ben Okri,The Famished Road
J. K Rowling,Harry Potter and the Goblet of Fire 
Robert Stone,Dog Soldiers 
Eça de Queirós,The Maias: Episodes from Romantic Life
Margaret Wise Brown,Goodnight Moon
Xun Lu,Selected Stories of Lu Hsun
Samuel Beckett,Krapp's Last Tape
Shirley Hazzard,The Transit of Venus
Apuleius,The Golden Ass (Metamorphoses): Or Metamorphoses
Jeanette Winterson,Written on the Body
James T. Farrell,Studs Lonigan
Nadine Gordimer,July's People
Jean Racine,Bérénice
Julian Barnes,Flaubert's Parrot
Elena Ferrante,My Brilliant Friend
Margaret Drabble,The Radiant Way
Philip Pullman,The Amber Spyglass
James Hilton,Lost Horizon
F. Scott Fitzgerald,The Short Stories of F. Scott Fitzgerald
Margaret Atwood,Oryx and Crake
Isaac Babel,The Collected Stories of Isaac Babel
Sarah Waters,Fingersmith
Jostein Gaarder,Sophie's World: A Novel About the History of Philosophy
Roberto Calasso,The Marriage Of Cadmus And Harmony
Herman Melville,Billy Budd
Derek Walcott,Omeros
Willa Cather,A Lost Lady
Kamala Markandaya,Nectar in a Sieve
Claudia Rankine,Citizen: An American Lyric
J. K Rowling,Harry Potter and the Deathly Hallows
Elizabeth Gaskell,Cranford
Mark Haddon,The Curious Incident of the Dog in the Night-time
John Berger,G.
James Kelman,"How Late It Was, How Late"
John Banville,The Sea
Anne Enright,The Gathering
V. S. Naipaul,In a Free State
Kingsley Amis,The Old Devils
Don DeLillo,Mao II
Anton Chekhov,The Lady with the Dog
DBC Pierre,Vernon God Little
Jonathan Lethem,The Fortress of Solitude
Khaled Hosseini,A Thousand Splendid Suns
Dai Sijie,Balzac and the Little Chinese Seamstress
Jean M. Auel,The Clan of the Cave Bear
David Markson,Wittgenstein's Mistress
na,na
list details page,"129 ""best of"" book lists"
Bernard Malamud,The Fixer
J. K Rowling,Harry Potter and the Half-Blood Prince
Ken Follett,The Pillars Of The Earth
Dashiell Hammett,Red Harvest 
George Saunders,Pastoralia
Franz Kafka,Amerika
J. K Rowling,Harry Potter And The Prisoner Of Azkaban
J. K Rowling,Harry Potter And The Chamber Of Secrets
J. K Rowling,Harry Potter and the Order of the Phoenix
William Shakespeare,Richard III
Alasdair Gray,Lanark 
Leo Tolstoy,The Kreutzer Sonata: And Other Stories
Michel Houellebecq,The Elementary Particles
Pier Paolo Pasolini,A Violent Life
Rabindranath Tagore,Home and the World
Henry Green,Living
Iris Murdoch,A Severed Head
Henry Green,Blindness
Horace Walpole,The Castle of Otranto: A Gothic Story
Nancy Mitford,Love in a Cold Climate
William S. Burroughs,Junky
J. K. Huysmans,Against Nature
Rudolfo Anaya,"Bless Me, Ultima"
Oscar Wilde,The Importance of Being Earnest
Salman Rushdie,The Moor's Last Sigh
Samuel Beckett,Endgame
Orson Scott Card,Ender's Game
Elena Ferrante,The Neapolitan Novels
Sheila Heti,How Should a Person Be?
Kazuo Ishiguro,The Unconsoled
Tillie Olsen,Tell Me a Riddle
Gertrude Stein,Three Lives
Jalāl al-Dīn Rūmī (Maulana),Poems of Rumi
Albert Camus,The Fall
Enrique Vila-Matas,Bartleby & Co
Kālidāsa,The Recognition of Sakuntala
Sue Townsend,The Secret Diary of Adrian Mole Aged 13 3/4
Heinrich Mann,Professor Unrat
Dodie Smith,I Capture the Castle
Harry Mulisch,The Discovery of Heaven
Stefan Zweig,The Royal Game
Elias Canetti,Auto Da Fé
Terry Pratchett,The Colour of Magic
Siegfried Lenz,The German Lesson
Johann Wolfgang von Goethe,Wilhelm Meister's Apprenticeship
Heinrich von Kleist,Michael Kohlhaas
Theodor Fontane,Effi Briest
Amos Oz,A Tale of Love and Darkness
William Faulkner,A Fable
Haruki Murakami,Norwegian Wood
na,na
list details page,"129 ""best of"" book lists"
Colson Whitehead,The Underground Railroad
Mildred D. Taylor,"Roll of Thunder, Hear My Cry"
Robertson Davies,Fifth Business
Gertrude Stein,The Making of Americans
Albert Cohen,Belle du Seigneur
Elmore Leonard,LaBrava
Georges Bernanos,Under Satan's Sun
Alberto Moravia,A Ghost at Noon
Djuna Barnes,Nightwood
Robert Tressell,The Ragged Trousered Philanthropists
Heinrich Böll,The Lost Honour of Katharina Blum
Julien Gracq,The Opposing Shore
Marguerite Duras,The Ravishing of Lol Stein
Chad Harbach,The Art of Fielding
Flann O'Brien,The Third Policeman
Elizabeth Bowen,The Heat of the Day
Frederick Rolfe,Hadrian the Seventh
Toni Morrison,The Bluest Eye
Anita Loos,Gentlemen Prefer Blondes: The Illuminating Diary of a Professional Lady 
Ursula K. Le Guin,The Dispossessed
Umberto Eco,Foucault's Pendulum
Richard Brautigan,In Watermelon Sugar
Aphra Behn,Oroonoko
Shi Naian,The Water Margin: Outlaws of the Marsh
Ali Smith,How to be both
Matsuo Bashō,The Narrow Road to the Deep North
Samuel Beckett,Watt
Marjorie Kinnan Rawlings,The Yearling
Anthony Trollope,The Warden
Cesare Pavese,The Selected Works of Cesare Pavese
Arthur Miller,The Crucible
Ole Edvart Rolvaag,Giants in the Earth
Louis de Bernières,Corelli's Mandolin
Zane Grey,Riders of the Purple Sage
Arthur Rimbaud,Collected Poems
Norman Rush,Mating
Nathaniel Hawthorne,Twice-Told Tales
Walt Whitman,The Poems of Walt Whitman
Richard Ford,Independence Day
John Milton,The Complete Poetry and Essential Prose of John Milton
Molière,The Misanthrope
S. E. Hinton,The Outsiders
Dan Brown,The Da Vinci Code
Jane Gardam,Old Filth
St. John of the Cross,The Collected Works of St. John of the Cross
Marion Zimmer Bradley,The Mists of Avalon
Jenny Offill,Dept. of Speculation
Diana Gabaldon,Outlander
Ishmael Reed,Mumbo Jumbo
Joyce Cary,The Horse's Mouth
na,na
list details page,"129 ""best of"" book lists"
Edward St Aubyn,At Last
Edward St Aubyn,Bad News
Edward St Aubyn,Some Hope
Edward St Aubyn,Never Mind
Edna St. Vincent Millay,Collected Works of Edna St. Vincent Millay
Pierre Corneille,Le Cid
Patrick Hamilton,The Slaves of Solitude
Lisa Halliday,Asymmetry
Yukio Mishima,Forbidden Colours
Norman Rush,Mortals
Jean de La Fontaine,Fables of La Fontaine
Francesco Petrarca,Petrarch's Songbook
Natalia Ginzburg,Family Sayings
Edmund Spenser,The Faerie Queene
Shirley Jackson,The Lottery and Other Stories
Samuel Coleridge,The Complete Poems of Samuel Taylor Coleridge
William Somerset Maugham,Collected Stories
Jim Harrison,Legends of The Fall
Lynne Tillman,American Genius: A Comedy
Henrik Ibsen,The Wild Duck
George Bernard Shaw,Saint Joan
Henrik Ibsen,The Master Builder
Francisco de Quevedo,El Buscón
John Steinbeck,Cannery Row
Dorothy L Sayers,Gaudy Night
Nicholas Evans,The Horse Whisperer
Plato,Phaedrus
Paul Verlaine,One Hundred and One Poems by Paul Verlaine
Philip Roth,"Goodbye, Columbus"
Tennessee Williams,A Streetcar Named Desire
Teresa of Avila,The Interior Castle
James Jones,From Here to Eternity 
Graham Swift,Last Orders
Pierre Ronsard,Selected Poems
William Styron,The Confessions of Nat Turner
Cormac McCarthy,Suttree
Friedrich Holderlin,Poems of Friedrich Hölderlin
William Shakespeare,"Twelfth Night: Or, What You Will"
Winfried Georg Sebald,The Emigrants
Gerard de Nerval,Les Filles du feu
Tim O'Brien,Going After Cacciato
Atticus Lish,Preparation for the Next Life
Luis de Góngora,Soledades
Christine De Pizan,The Book of the City of Ladies
Shirley Hazzard,The Great Fire
Saadi,Bostan
Yasunari Kawabata,The Sound of the Mountain
Wolfram Eschenbach,Parzival
Longus,Daphnis and Chloe
Paul Celan,Poems
na,na
list details page,"129 ""best of"" book lists"
Eugenio Montale,Poems of Eugenio Montale
Jalal al-Din Muhammad Rumi,Masnavi
Naguib Mahfouz,Children of Gebelawi
Iceland,Njal's Saga
Alfred de Musset,The Complete Writings of Alfred de Musset
Richard Hughes,A High Wind in Jamaica
Roddy Doyle,The Van
Christian Church,Song of Songs
Nicolás Guillén,Sóngoro cosongo
Anonymous,Curial e Güelfa
Iris Murdoch,The Black Prince
Barbara Kingsolver,Pigs in Heaven
William Carlos Williams,The Collected Poems of William Carlos Williams: 1909-1939
Sebastian Barry,Days Without End
Pierre-Augustin Caron de Beaumarchais,"The Figaro Trilogy: The Barber of Seville, The Marriage of Figaro, The Guilty Mother"
Stieg Larsson,The Girl with the Dragon Tattoo
Oliver Goldsmith,She Stoops to Conquer
Washington Irving,Stories of Washington Irving
Ken Follett,Eye Of The Needle
Heinrich Heine,"Germany, a Winter Tale"
Agrippa d'Aubigné,Les Tragiques
Alfred de Vigny,Les Destinées
Manuel Puig,Betrayed by Rita Hayworth
Jorge Manrique,Coplas por la muerte de su padre
Anonymous,The Way of a Pilgrim
Marguerite Duras,La siesta de M. Andesmas
Anonymous,Calila e Dimna
Alfred Jarry,Ubu Roi
Simon Armitage,Sir Gawain and the Green Knight
Paul Valéry,The Collected Works of Paul Valéry
Henry James,Daisy Miller
Thomas Hardy,The Return of the Native
William Faulkner,The Hamlet
Frank O'Hara,Lunch Poems
César Vallejo,The Complete Poetry of César Vallejo
Mario Vargas Llosa,Conversation in the Cathedral
Prosper Mérimée,Carmen
Percy Bysshe Shelley,The Poems of Percy Bysshe Shelley 
Philip Roth,Sabbath's Theater
Yaa Gyasi,Homegoing
Henri Alain-Fournier,The Wanderer
Irvine Welsh,Trainspotting
Alice Munro,"Hateship, Friendship, Courtship, Loveship, Marriage"
Pierre Carlet de Chamblain de Marivaux,Marivaux: Three Plays
Anne Carson,The Beauty Of The Husband
Victor Hugo,La légende des siècles
Raymond Queneau,Zazie in the Metro
Neil Gaiman,Sandman
Miguel de Unamuno,Poems
J M Coetzee,Elizabeth Costello
na,na
list details page,"129 ""best of"" book lists"
Mateo Alemán,Guzmán de Alfarache
Various Authors,Gospels
P. D. James,The Children of Men
Jeffrey Archer,Kane and Abel
Roberto Arlt,Los lanzallamas
Hector Viel Temperley ,The Last Books of Hector Viel Temperley
Pablo Neruda,Poems of Pablo Neruda
John Dos Passos,Manhattan Transfer
Laura Ingalls Wilder,Little House on the Prairie
Guillaume Apollinaire,Calligrammes
Carol Shields,Unless
James Ellroy,American Tabloid
César Vallejo,Trilce
Pablo Neruda,Residence on Earth
Gustavo Adolfo Bécquer,Rimas
Antonio Machado,Juan De Mairena
Jaime Gil de Biedma ,The Poems of Jaime Gil de Biedma 
Robertson Davies,The Manticore
Louis-Ferdinand Céline,Death on Credit
Franklin W. Dixon,The Hardy Boys
Robertson Davies,World of Wonders
Alice Munro,The Progress of Love
Albert Payson Terhune,Lad: a Dog
Rex Stout,Nero Wolfe
Derek Walcott,The Poetry of Derek Walcott 1948-2013
Shirley Jackson,We Have Always Lived in the Castle
Evan S. Connell,Mrs. Bridge
William Goldman,The Princess Bride: An Illustrated Edition of S. Morgenstern's Classic Tale of True Love and High Adventure
Philip Larkin,The Complete Poems
Varlan Shalanov,Kolyma Tales
Evan S. Connell,Mr Bridge
Dorothy Parker,Complete Stories
Raymond Chandler,Collected Stories
Francisco Umbral,Mortal y rosa
Albert Camus,The First Man
Juan Marse,Last Evenings with Teresa
Ramón del Valle-Inclán,Bohemian Lights
César Vallejo,"Spain, Take This Chalice from Me"
Mario Vargas Llosa,Aunt Julia and the Scriptwriter
Joseph Conrad,The Shadow Line
Hermann Hesse,Demian
Luis de Góngora,Poems of Góngora
Julián Olivares,Sonnets
Arthur Rimbaud,Illuminations
Paul Claudel,"Three plays: The hostage, Crusts, The humiliation of the father"
Tristan Corbière,Wry-Blue Loves: Les Amours Jaunes
Victor Hugo,Les Contemplations
Jean de la Croix,La Nuit obscure
Quintus Lutatius Catulus,Poetry
Georges Bernanos,The Diary of a Country Priest
na,na
list details page,"129 ""best of"" book lists"
Rudyard Kipling,The Jungle Book
Kaye Gibbons,Ellen Foster
Charlotte Bronte,Villette
Jesmyn Ward,"Sing, Unburied, Sing"
Monica Ali,Brick Lane
Herman Wouk,War and Remembrance
Flannery O'Connor,The Violent Bear It Away
James A. Michener,Centennial
Anita Desai,Clear Light of Day
H. P. Lovecraft,At the Mountains of Madness
William Kotzwinkle,The Fan Man
Fanny Burney,Camilla
Margaret Atwood,Surfacing
E. L. Doctorow,The Book of Daniel
 Henning Mankell,Faceless Killers
Jane Austen,Mansfield Park
Carl Sagan,Contact
J M Coetzee,Dusklands
Maksim Gorky,Mother
André Gide,The Fruits of the Earth
Amitav Ghosh,The Shadow Lines
Frederic Manning,Her Privates We
Banana Yoshimoto,Kitchen
Arturo Pérez-Reverte,The Club Dumas
James Stephens,The Charwoman's Daughter
Aldous Huxley,Eyeless in Gaza
Leonardo Sciascia,To Each His Own
Amos Oz,Black Box
Italo Calvino,The Castle of Crossed Destinies
Peter Esterhazy,Celestial Harmonies
Tarjei Vesaas,The Birds
Elmore Leonard,Get Shorty
John Irving,The Cider House Rules
Hermann Broch,The Guiltless
Emil Cioran,On the Heights of Despair
na,na
 Shūsaku Endō,Deep River
Alberto Moravia,Disobedience
Sheridan Le Fanu,In a Glass Darkly
Máro Doýka,Fool's Gold
 Camilo José Cela,The Hive
Alvaro Mutis,The Adventures and Misadventures of Maqroll
Gabriel Garcia Marquez,The Autumn of the Patriarch
Kristien Hemmerechts,Margot and the Angels
Marcel Pagnol,Manon des sources
William Morris,News from Nowhere
 George Sand,The Devil's Pool
Jan Wolkers,Return to Oegstgeest
Ngugi wa Thiong'o,The River Between
Eliza Haywood,"Love in Excess; or, The Fatal Enquiry"
na,na
list details page,"129 ""best of"" book lists"
Juan Valera y Alcalá-Galiano,Pepita Jimenez
Jerzy Andrzejewski,Ashes and Diamonds
 Louis Couperus,Eline Vere
Dubravka Ugrešić,The Museum of Unconditional Surrender
 Viktor Paskov,A Ballad for Georg Henig
Ian McEwan,The Cement Garden
Zhang Jie,Heavy Wings
Federico De Roberto,The Viceroys
Arthur Schnitzler,None but the Brave
 Marcel Allain,Fantômas
 Hendrik Conscience,The Lion of Flanders
José Saramago,Baltasar and Blimunda
Patrick White,The Living and the Dead
 Henry Mackenzie,The Man of Feeling
Michel Faber,Under the Skin
Gerald Murnane,Inland
Meša Selimović,Death and the Dervish
José María Arguedas,Deep Rivers
Manuel Puig,Kiss of the Spider Woman
Émile Zola,Nana
J. G. Ballard,Empire of the Sun
James Thurber,The 13 Clocks
Samuel Richardson,Pamela
Pauline Reage,Story of O
Alejo Carpentier,The Kingdom of This World
Giovanni Verga,I Malavoglia
Martin Walser,Halftime
 Wyndham Lewis,The Apes of God
 Arnold Zweig,The Case of Sergeant Grischa
Günter Grass,Cat and Mouse
Romain Gary,The Roots of Heaven
Benito Pérez Galdós,Compassion
 Jim Dodge,Stone Junction: An Alchemical Pot-Boiler
Kenzaburō Ōe,"Nip the Buds, Shoot the Kids"
J. G. Farrell,The Singapore Grip
Chester Himes,Blind Man with a Pistol
Dorothy L Sayers,Murder Must Advertise
Simon Vestdijk,The Garden Where the Brass Band Played
Cesare Pavese,The Harvesters
Caterina Albert,Solitude
Kyŏng-ni Pak,Land
Saul Bellow,Dangling Man
Joost Zwagerman,Gimmick!
 Bolesław Prus,Pharaoh
Colin MacInnes,Absolute Beginners
Frances Hodgson Burnett,The House on the Borderland
Nikolai Leskov,The Enchanted Wanderer
James Ellroy,The Black Dahlia
Uwe Timm,The Invention of Curried Sausage
 Margaret Laurence,The Diviners
na,na
list details page,"129 ""best of"" book lists"
Henry James,What Maisie Knew
Jules Verne,Journey to the Center of the Earth
Christopher Isherwood,Mr Norris Changes Trains
Radclyffe Hall,The Well of Loneliness
Salman Rushdie,Shame
Eduardo Mendoza,A Light Comedy
Charles Kingsley,"The Water-Babies, A Fairy Tale for a Land Baby"
Paulo Coelho,The Devil and Miss Prym
Adalbert Stifter,Indian Summer
Naguib Mahfouz,Midaq Alley
Samuel Johnson,"The History of Rasselas, Prince of Abissinia"
Hella S. Haasse,Forever a Stranger
Sheridan Le Fanu,Uncle Silas
Aleksandar Hemon,Nowhere Man
Karel Čapek,War with the Newts
 Christa Wolf,Patterns of Childhood
Elena Poniatowska,"Here's to You, Jesusa!"
Stanisław Lem,Solaris
Anthony Trollope,Phineas Finn
 Walter Pater,Marius the Epicurean
 José Hernández,Martín Fierro
Harry Mathews,Cigarettes
Eilís Dillon,The Bitter Glass
Denis Diderot,The Nun
Miguel Delibes,The Heretic
Ismail Kadare,The Successor
Pedro Juan Gutierrez,Dirty Havana Trilogy
Milorad Pavic,Dictionary of the Khazars
Storm Jameson,A Day Off
 Thomas Mofolo,Chaka
John Barth,The Floating Opera
 Andre Brink,A Dry White Season
David Malouf,Remembering Babylon
Tove Jansson,The Summer Book
Victor Pelevin,The Life of Insects
Ann Radcliffe,The Mysteries of Udolpho
Gabriele D'Annunzio,Il Piacere
Philip Roth,Nemesis
Friedrich Dürrenmatt,The Judge and His Hangman
B. S. Johnson,House Mother Normal
Wolfgang Koeppen,The Hothouse
Hugo Claus,The Sorrow of Belgium
Yukio Mishima,The Sea of Fertility
Manuel Vázquez Montalbán,Southern Seas
Lawrence Durrell,Justine
 Wyndham Lewis,Tarr
Jo Jung-rae,Taebaek Sanmaek
 Tessa De Loo,The Twins
Siri Hustvedt,What I Loved
José Saramago,The History of the Siege of Lisbon
na,na
list details page,"129 ""best of"" book lists"
na,na
Nicolaas Beets,Camera Obscura
Max Frisch,Homo Faber
Botho Strauß,"Couples, Passersby"
Muriel Barbery,The Elegance of the Hedgehog
Etienne van Heerden,Ancestral Voices
Antun Šoljan,Luka
Thomas Deloney,"Thomas of Reading, Or, The Sixe Worthie Yeomen of the West"
Elfriede Jelinek,The Piano Teacher
Daniel Kehlmann,Measuring the World
László Krasznahorkai,The Melancholy of Resistance
Cees Nooteboom,All Souls' Day
Ismail Kadare,"Spring Flowers, Spring Frost"
Jan Jacob Slauerhoff,The Forbidden Kingdom
Gert Hofmann,The Parable of the Blind
Alberto Moravia,The Time of Indifference
R. K. Narayan,The Guide
 Barry Hines,A Kestrel for a Knave
V. S. Naipaul,The Enigma of Arrival
Mulk Raj Anand,Untouchable
Ernst Jünger,The Glass Bees
Alfredo Bryce Echenique,A World for Julius
Charles Robert Maturin,Melmoth the Wanderer
Xosé Neira Vilas,Memoirs of a Peasant Boy
Mariano Azuela,The Underdogs
 G. V. Desani,All about H. Hatterr
Ivan Vazov,Under the Yoke
Lorrie Moore,A Gate at the Stairs
Karl Philipp Moritz,Anton Reiser
Sam Selvon,The Lonely Londoners
Thomas Pynchon,Against the Day
Georges Perec,"W, or the Memory of Childhood"
Pavlos Matesis,The Daughter
Juan Goytisolo,Marks of Identity
Muriel Spark,The Girls of Slender Means
Georges Bataille,Blue of Noon
Richard Brautigan,Willard and His Bowling Trophies: A Perverse Mystery
Georges Perec,A Void
Michel Houellebecq,Whatever
Javier Cercas,Soldiers of Salamis
 Mariama Bâ,So Long a Letter
Jurek Becker,Jacob the Liar
 Ivo Andrić,The Bridge on the Drina
Edna O'Brien,Girl With Green Eyes
Jules Verne,Around the World in Eighty Days
José Saramago,Cain
Ivan Klíma,"Waiting for the Dark, Waiting for the Light"
Sawako Ariyoshi,The Twilight Years
Fernando Vallejo,Our Lady of the Assassins
John Wyndham,The Midwich Cuckoos
na,na
list details page,"129 ""best of"" book lists"
Ward Ruyslinck,The deadbeats: a novel
Louis Aragon,The Bells of Basel
Multatuli,Max Havelaar
 Willem Elsschot,Cheese
J. K. Huysmans,Down There
Felix Timmermans,Pallieter
Leonid Tsypkin,Summer in Baden-Baden
Iain Banks,The Crow Road
Edgar Allan Poe,The Fall of the House of Usher
Louis de Bernières,Captain Corelli's Mandolin
Anthony Burgess,Inside Mr. Enderby
 Padgett Powell,Typical: Stories
Douglas Adams,Dirk Gently's Holistic Detective Agency
Kōstas Tachtsēs,The Third Wedding
 Ivo Andrić,Bosnian Chronicle
 Erica Jong,Fear of Flying
Octavio Paz,The Labyrinth of Solitude
Georges Bataille,L'Abbé C
Ryū Murakami,Almost Transparent Blue
na,na
Angus Wilson,No Laughing Matter
Peter Handke,The Left-Handed Woman
 Henri Barbusse,Under Fire
Raymond Queneau,Exercises in Style
Jonathan Coe,What a Carve Up!
Henryk Sienkiewicz,Quo Vadis
Petros Markaris,The Late-night News
Ṣādiq Hidāyat,The Blind Owl
 David Dabydeen,Disappearance
Joan Didion,Democracy
Tsitsi Dangarembga,Nervous Conditions
Miyuki Miyabe,Crossfire
Margaret Atwood,Alias Grace
 Christa Wolf,The Quest for Christa T.
Lydia Davis,The End of the Story
Niccolò Ammaniti,I'm Not Scared
James Kelman,"Kieron Smith, Boy"
Doris Lessing,The Grass Is Singing
Edmund White,A Boy's Own Story
Paul Auster,Moon Palace
Roxana Robinson,Cost
A. S. Byatt,The Children's Book
Elizabeth Bowen,Eva Trout
Dashiell Hammett,The Thin Man
Ivan Turgenev,King Lear of the Steppes
Edgar Allan Poe,The Pit and the Pendulum
José Carlos Somoza,Lady Number Thirteen
 Maurice Blanchot,Death Sentence
 Giovanni Papini,Life of Christ
Guy de Maupassant,Une vie
na,na
list details page,"129 ""best of"" book lists"
Josef Škvorecký,The Engineer of Human Souls
David Leavitt,The Lost Language of Cranes
 Luis Martín-Santos,Time of Silence
Iris Murdoch,The Bell
Connie Palmen,The Laws
Jorge Amado,"Gabriela, Clove and Cinnamon"
Miguel de Cervantes,The Travels of Persiles and Sigismunda
A. L. Kennedy,Looking For The Possible Dance
Ciril Kosmač,A Day in Spring
Philipp Meyer,American Rust
Vassilis Vassilikos,Z
Julia Franck,The Blind Side of the Heart
Anatole France,Thaïs
György Konrád,The Case Worker
Christoph Ransmayr,The Last World
Kazuo Ishiguro,A Pale View of Hills
George Orwell,Keep the Aspidistra Flying
 Juan José Saer,The Witness
Edmund Wilson,I Thought of Daisy
Antonio Tabucchi,Pereira Maintains
Anna Seghers,Transit
Jeanette Winterson,Sexing the Cherry
H. G. Wells,The Island of Doctor Moreau
Wolfgang Koeppen,Death in Rome
Thomas Nashe,The Unfortunate Traveller
Tadeusz Borowski,"This Way for the Gas, Ladies and Gentlemen"
 Robert Merle,The Day of the Dolphin
Cees Nooteboom,Rituals
 Timothy Findley,The Wars
Colette,Claudine
Apostolos Doxiadis,Uncle Petros and Goldbach's Conjecture
Heinrich Böll,Group Portrait with Lady
 William Beckford,Vathek
Chinua Achebe,Arrow of God
Willa Cather,The Professor's House
 Charlotte Lennox,The Female Quixote
Patrick Suskind,The Pigeon
Emilia Pardo Bazán,The House of Ulloa
Elena Ferrante,Troubling Love
Henry Williamson,Tarka the Otter
Selma Lagerlöf,Gösta Berling's Saga
Oles Honchar,The Cathedral
 Charles Webb,The Graduate
Tomás Eloy Martínez,Santa Evita
Günter Grass,Dog Years
Eric Ambler,Cause for Alarm
Dorothy L Sayers,The Nine Tailors
 Camilo José Cela,Journey to the Alcarria
Luigi Pirandello,"One, No One and One Hundred Thousand"
Amy Hempel,Reasons to Live
na,na
list details page,"129 ""best of"" book lists"
E. E. Cummings,The Enormous Room
Emilio Salgari,Sandokan
Graham Greene,The Honorary Consul
Colm Tóibín,The Master
Nadine Gordimer,Burger's Daughter
Alice Munro,Lives of Girls and Women
Bharati Mukherjee,Holder of the World: A Novel
William Kotzwinkle,The Midnight Examiner
Nicole Krauss,The History of Love
Nella Larsen,Passing
Géza Gárdonyi,Eclipse of the Crescent Moon
Andrzej Szczypiorski,The Beautiful Mrs. Seidenman
Laurence Sterne,A Sentimental Journey Through France and Italy
Marquis de Sade,Justine
Italo Svevo,Senilità
Gore Vidal,Myra Breckinridge
Victor Serge,The Case of Comrade Tulayev
Zulfikar Ghose,The Triple Mirror of the Self
 Keith Waterhouse,Billy Liar
Janice Galloway,The Trick Is to Keep Breathing
Javier Marías,All Souls
Thomas Bernhard,Extinction
Eça de Queirós,The Crime of Father Amaro
Vladimir Bartol,Alamut
Rebecca West,The Return of the Soldier
François Mauriac,Viper’s Tangle
Danilo Kiš,"Garden, Ashes"
Elizabeth Gaskell,North and South
Saunders Lewis,Monica
Isaac Bashevis Singer,The Magician of Lublin
 Henri Barbusse,Hell
Jean-Jacques Rousseau,"Julie, or the New Heloise"
Maksim Gorky,The Artamonov Business
Marguerite Duras,The Vice-Consul
António Lobo Antunes,Fado Alexandrino
Ann-Marie MacDonald,Fall On Your Knees
Gabriel Garcia Marquez,No One Writes to the Colonel
Eugenia Fakinou,Astradeni
Nikos Kazantzakis,The Last Temptation of Christ
Manuel Puig,Heartbreak Tango
Jim Crace,Arcadia
George Eliot,Adam Bede
Raymond Roussel,Locus Solus
Dương Thu Hương,Paradise of the Blind
Alain de Botton,On Love
Sunetra Gupta,Memories of Rain
Jessica Anderson,The Commandant
Shashi Tharoor,The Great Indian Novel
Dorothy Richardson,Pilgrimage
Veijo Meri,The Manila Rope
na,na
list details page,"129 ""best of"" book lists"
Janet Frame,Faces In The Water
Slavenka Drakulic,As If I Am Not There
Émile Zola,Drunkard
Bessie Head,A Question of Power
Miroslav Krleža,On the Edge of Reason
Carmen Martín Gaite,The Back Room
Émile Zola,La Bête humaine
Per Olov Enquist,The Book about Blanche and Marie
Maria Edgeworth,Castle Rackrent
Frederik van Eeden,The Quest
Heinrich Böll,Billiards at Half-Past Nine
Hilda Doolittle,Asphodel
Flannery O'Connor,Everything That Rises Must Converge
Winifred Watson,Miss Pettigrew Lives for a Day
Matthew Lewis,The Monk
Bruno Schulz,The Street of Crocodiles
Michael Arlen,The Green Hat
Botho Strauß,The Young Man
Vladimir Nabokov,Pnin
J M Coetzee,In the Heart of the Country
Guy de Maupassant,Pierre et Jean
Jorge Amado,Tent of Miracles
 Bernardo Atxaga,Obabakoak
Bohumil Hrabal,Closely Watched Trains
Patrick White,The Tree of Man
Shahan Shahnour,Retreat Without Song
Walter Scott,Rob Roy
Alfred Kossmann,Smell of Sadness
Lorrie Moore,Like Life
Jorge Volpi Escalante,In Search of Klingsor
Lorrie Moore,Anagrams
Bruce Chatwin,On the Black Hill
Alessandro Baricco,Silk
Patricia Duncker,Hallucinating Foucault
Anaïs Nin,Delta of Venus
Alan Warner,Morvern Callar
Frank Schatzing,The Swarm
Novalis,Heinrich of Ofterdingen
Venedikt Yerofeev,Moscow-Petushki
Donald Barthelme,The Dead Father
August Strindberg,By the Open Sea
Jeffrey Eugenides,The Marriage Plot
A. S. Byatt,The Virgin in the Garden
Elizabeth Bowen,To the North
Nikolai Gogol,The Nose
Peter Ackroyd,Hawksmoor
 John Cleland,Fanny Hill
Shusaku Endo,Silence
Zhang Xianliang,Half of Man is Woman
Hubert Selby,Requiem for a Dream
na,na
list details page,"129 ""best of"" book lists"
Graham Swift,Waterland
 Arto Paasilinna,The Year of the Hare
Fanny Burney,Evelina
na,na
Marquis de Sade,The 120 Days of Sodom
Simone de Beauvoir,The Mandarins
Nella Larsen,Quicksand
Raymond Radiguet,Le Diable au corps
Clarice Lispector,The Passion According to G.H.
Carmen Laforet,Nada
Italo Calvino,The Path to the Nest of Spiders
Alice Munro,Who Do You Think You Are?
Ngugi wa Thiong'o,Matigari
Elio Vittorini,Conversations in Sicily
Nevil Shute,A Town Like Alice
 Patrick McCabe,The Butcher Boy
Naguib Mahfouz,Miramar
Erskine Caldwell,House in the Uplands
Ciro Alegría,Broad and Alien is the World
Henry Green,Back
Tobias Smollett,The Adventures of Peregrine Pickle
Ismail Kadare,Broken April
May Sinclair,Life and Death of Harriett Frean
Horace McCoy,"They Shoot Horses, Don't They?"
David Gemmell,Legend
